Ranked Marker Expression for each Archetype (by Z-score)
============================================================

--- Archetype 1: Archetype 1: CD45RO/CD62L/CD45RA^hi CD16+TIGIT/CD366^lo ---
CD45RA          | Z-score: +2.16
CD62L           | Z-score: +1.39
CD45RO          | Z-score: +1.14
CD95            | Z-score: +1.01
CD8+CD14        | Z-score: +0.20
CD69            | Z-score: +0.17
CD3+CD19        | Z-score: +0.13
CD197           | Z-score: +0.03
CD279+CD24      | Z-score: -0.00
CD25            | Z-score: -0.01
CD45            | Z-score: -0.14
CD152           | Z-score: -0.28
CD4+CD33        | Z-score: -0.60
CD34+CD223      | Z-score: -0.89
CD56            | Z-score: -0.98
CD366           | Z-score: -1.25
CD16+TIGIT      | Z-score: -2.05

--- Archetype 2: Archetype 2: CD3+CD19/CD45RA/CD62L^hi CD4+CD33/CD16+TIGIT^lo ---
CD62L           | Z-score: +1.93
CD45RA          | Z-score: +1.24
CD3+CD19        | Z-score: +1.17
CD95            | Z-score: +0.93
CD69            | Z-score: +0.89
CD152           | Z-score: +0.54
CD45RO          | Z-score: +0.16
CD34+CD223      | Z-score: -0.04
CD25            | Z-score: -0.17
CD8+CD14        | Z-score: -0.18
CD366           | Z-score: -0.25
CD45            | Z-score: -0.26
CD56            | Z-score: -0.75
CD197           | Z-score: -0.88
CD279+CD24      | Z-score: -0.96
CD16+TIGIT      | Z-score: -1.37
CD4+CD33        | Z-score: -2.01

--- Archetype 3: Archetype 3: CD3+CD19/CD152/CD62L^hi CD8+CD14/CD25/CD16+TIGIT^lo ---
CD62L           | Z-score: +1.66
CD152           | Z-score: +1.39
CD3+CD19        | Z-score: +1.04
CD45RO          | Z-score: +1.00
CD45RA          | Z-score: +0.84
CD197           | Z-score: +0.64
CD95            | Z-score: +0.50
CD69            | Z-score: +0.14
CD366           | Z-score: +0.12
CD279+CD24      | Z-score: -0.05
CD56            | Z-score: -0.61
CD34+CD223      | Z-score: -0.61
CD45            | Z-score: -0.67
CD4+CD33        | Z-score: -1.03
CD16+TIGIT      | Z-score: -1.16
CD25            | Z-score: -1.43
CD8+CD14        | Z-score: -1.78

--- Archetype 4: Archetype 4: CD95/CD62L/CD45RA^hi CD366/CD4+CD33/CD16+TIGIT^lo ---
CD45RA          | Z-score: +2.10
CD62L           | Z-score: +1.54
CD95            | Z-score: +1.18
CD69            | Z-score: +0.86
CD45RO          | Z-score: +0.65
CD3+CD19        | Z-score: +0.52
CD197           | Z-score: +0.17
CD45            | Z-score: +0.05
CD152           | Z-score: -0.24
CD34+CD223      | Z-score: -0.31
CD279+CD24      | Z-score: -0.41
CD25            | Z-score: -0.61
CD56            | Z-score: -0.69
CD8+CD14        | Z-score: -0.79
CD16+TIGIT      | Z-score: -1.01
CD4+CD33        | Z-score: -1.50
CD366           | Z-score: -1.51

--- Archetype 5: Archetype 5: CD45RA/CD62L/CD45RO^hi CD4+CD33/CD45^lo ---
CD45RO          | Z-score: +1.89
CD62L           | Z-score: +1.68
CD45RA          | Z-score: +1.12
CD3+CD19        | Z-score: +0.87
CD95            | Z-score: +0.66
CD152           | Z-score: +0.53
CD69            | Z-score: +0.50
CD197           | Z-score: +0.26
CD34+CD223      | Z-score: -0.30
CD279+CD24      | Z-score: -0.54
